SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
DANVERS - IVAN G SMITH,00710032,1.9,1.3,0.6,96.1,0.0,49.2,50.8
DANVERS - RIVERSIDE,00710030,0.0,1.0,0.5,98.4,0.0,49.6,50.4
DANVERS - WILLIS E THORPE,00710045,0.2,0.7,1.0,98.0,0.0,49.0,51.0
DARTMOUTH - ANDREW B CUSHMAN,00720010,1.6,4.3,3.2,90.9,0.0,51.4,48.6
DARTMOUTH - DARTMOUTH HIGH,00720505,1.5,1.3,1.6,94.4,1.2,50.5,49.5
DARTMOUTH - DARTMOUTH MIDDLE,00720050,1.7,0.8,0.7,95.6,1.2,50.8,49.2
DARTMOUTH - GEORGE H POTTER,00720030,2.7,1.2,0.2,95.9,0.0,51.8,48.2
DARTMOUTH - JOB S GIDLEY,00720020,2.3,1.8,0.0,96.0,0.0,51.5,48.5
DARTMOUTH - JOSEPH DEMELLO,00720015,1.7,1.4,0.0,96.9,0.0,51.2,48.8
DEDHAM - AVERY,00730010,6.1,1.9,5.5,86.2,0.3,48.9,51.1
DEDHAM - DEDHAM HIGH,00730505,1.9,2.4,3.6,90.6,1.5,50.3,49.7
DEDHAM - DEDHAM MIDDLE SCHOOL,00730305,2.0,2.0,3.8,91.1,1.1,52.3,47.7
DEDHAM - EARLY CHILDHOOD CENTER,00730005,0.6,4.6,0.9,93.9,0.0,51.8,48.2
DEDHAM - GREENLODGE,00730025,1.4,1.0,1.7,95.8,0.0,46.5,53.5
DEDHAM - OAKDALE,00730030,0.3,2.2,2.0,95.3,0.3,46.4,53.6
DEDHAM - RIVERDALE,00730045,2.1,3.1,3.4,91.4,0.0,52.4,47.6
DEERFIELD - DEERFIELD ELEM,00740015,1.3,0.6,1.3,96.8,0.0,53.9,46.1
DENNIS-YARMOUTH - DENNIS-YARMOUTH REG HIGH,06450505,3.0,0.9,4.0,91.9,0.1,48.4,51.6
DENNIS-YARMOUTH - EZRA H BAKER,06450005,3.9,0.3,5.2,90.3,0.3,52.3,47.7
DENNIS-YARMOUTH - JOHN SIMPKINS,06450010,4.4,0.4,0.8,94.4,0.0,50.8,49.2
DENNIS-YARMOUTH - LAURENCE C MACARTHUR ELEM,06450020,4.5,0.7,6.3,88.5,0.0,53.9,46.1
DENNIS-YARMOUTH - MARGUERITE E SMALL ELEM,06450015,5.4,2.4,3.4,88.8,0.0,54.6,45.4
DENNIS-YARMOUTH - MATTACHEESE MIDDLE SCH,06450305,4.8,1.1,2.6,90.6,0.9,51.3,48.7
DENNIS-YARMOUTH - N H WIXON MIDDLE,06450310,3.1,1.3,3.5,91.7,0.4,49.3,50.7
DENNIS-YARMOUTH - STATION AVENUE ELEM,06450025,2.4,0.6,3.6,92.9,0.4,49.9,50.1
DIGHTON-REHOBOTH - DIGHTON ELEMENTARY,06500005,0.2,1.2,0.0,98.6,0.0,52.7,47.3
DIGHTON-REHOBOTH - DIGHTON MIDDLE SCHOOL,06500305,1.8,0.5,0.0,97.7,0.0,52.5,47.5
DIGHTON-REHOBOTH - DIGHTON-REHOBOTH RHS,06500505,1.3,0.3,0.3,98.0,0.0,50.3,49.7
DIGHTON-REHOBOTH - DOROTHY L BECKWITH,06500310,0.8,0.3,0.0,98.8,0.0,52.8,47.2
DIGHTON-REHOBOTH - PALMER RIVER /ANAWAN,06500010,0.4,0.8,0.0,98.8,0.0,51.7,48.3
DOUGLAS - DOUGLAS MEMORIAL HIGH,00770505,0.0,0.9,0.0,99.1,0.0,48.9,51.1
DOUGLAS - EAST DOUGLAS ELEMENTARY,00770010,0.4,0.2,0.0,99.4,0.0,52.5,47.5
DOVER - CARYL,00780003,1.5,5.6,1.1,91.8,0.0,50.0,50.0
DOVER - CHICKERING,00780005,0.0,1.8,0.7,97.1,0.4,46.2,53.8
DOVER-SHERBORN - DOVER-SHERBORN REG HIGH,06550505,3.2,4.1,1.1,91.3,0.2,45.6,54.4
DOVER-SHERBORN - DOVER-SHERBORN REG JR H S,06550405,2.2,1.9,0.5,95.4,0.0,49.2,50.8
DRACUT - DRACUT MIDDLE,00790035,2.0,2.6,0.6,94.7,0.0,51.8,48.2
DRACUT - DRACUT SENIOR HIGH,00790505,0.6,4.7,1.7,92.9,0.0,48.7,51.3
DRACUT - GEORGE H ENGLESBY JR HIGH,00790405,0.0,2.8,1.4,95.7,0.2,53.4,46.6
DRACUT - GREENMONT AVENUE,00790030,0.3,2.3,1.4,96.0,0.0,45.4,54.6
DRACUT - JOSEPH A CAMPBELL ELEM,00790020,1.1,2.7,1.3,94.8,0.1,55.8,44.2
DRACUT - PARKER AVENUE,00790025,2.8,2.4,1.6,93.2,0.0,52.0,48.0
DUDLEY-CHARLTON REG - CHARLTON ELEMENTARY,06580020,0.0,0.6,0.4,99.0,0.0,50.1,49.9
DUDLEY-CHARLTON REG - DUDLEY ELEMENTARY,06580005,0.6,0.6,0.9,98.0,0.0,53.8,46.2
DUDLEY-CHARLTON REG - DUDLEY INTERMEDIATE,06580405,1.1,0.3,2.2,96.2,0.3,46.8,53.2
DUDLEY-CHARLTON REG - HERITAGE SCHOOL,06580030,0.4,0.8,0.6,97.8,0.4,49.3,50.7
DUDLEY-CHARLTON REG - MASON RD SCHOOL,06580010,0.9,0.0,1.3,97.8,0.0,48.2,51.8
DUDLEY-CHARLTON REG - SHEPHERD HILL REG HIGH,06580505,0.4,0.6,0.6,98.5,0.0,51.3,48.7
DUXBURY - ALDEN SCHOOL,00820004,0.6,0.8,0.4,98.1,0.0,51.7,48.3
DUXBURY - CHANDLER ELEMENTARY,00820006,0.7,1.0,0.6,97.7,0.0,54.1,45.9
DUXBURY - DUXBURY HIGH,00820505,0.5,1.0,0.6,98.0,0.0,44.8,55.2
DUXBURY - DUXBURY MIDDLE,00820305,0.3,0.8,0.4,98.4,0.0,52.7,47.3
EAST BRIDGEWATER - CENTRAL,00830005,1.2,0.2,0.1,98.4,0.0,48.5,51.5
EAST BRIDGEWATER - EAST BRIDGEWATER HIGH,00830505,0.8,0.6,1.6,96.7,0.3,47.6,52.4
EAST BRIDGEWATER - GORDON W MITCHELL,00830010,0.9,0.5,0.1,98.4,0.0,53.1,46.9
EAST LONGMEADOW - BIRCHLAND PARK,00870305,2.6,0.5,0.0,96.9,0.0,52.0,48.0
