SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Framingham - Mary E Stapleton Elementary,01000045,8.9,5.1,16.8,64.6,0.0,0.0,4.7,54.5,45.5
Framingham - Miriam F McCarthy School,01000050,11.4,2.2,21.2,59.3,0.0,0.0,5.9,53.5,46.5
Framingham - Potter Road,01000039,2.8,3.8,5.5,82.9,0.2,0.0,4.9,49.5,50.5
Framingham - Walsh Middle,01000310,6.0,8.6,25.8,57.9,0.1,0.0,1.6,49.2,50.8
Framingham - Woodrow Wilson,01000055,6.1,0.4,15.1,76.0,0.0,0.0,2.4,51.6,48.4
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,1.3,3.3,2.8,90.8,0.5,0.3,1.0,53.6,46.4
Franklin - Annie Sullivan Middle School,01010040,1.1,0.9,2.4,94.1,0.2,0.0,1.3,55.7,44.3
Franklin - Davis Thayer,01010035,1.8,2.8,3.7,89.8,0.6,0.3,0.9,50.5,49.5
Franklin - Franklin Early Childhood Development Center,01010003,2.0,7.2,3.3,82.9,0.0,2.0,2.6,58.6,41.4
Franklin - Franklin High,01010505,1.6,4.1,1.8,91.0,0.2,0.2,1.2,47.0,53.0
Franklin - Helen Keller Elementary,01010012,1.7,4.8,1.3,91.3,0.4,0.0,0.6,54.8,45.2
Franklin - Horace Mann,01010405,1.0,4.6,1.4,90.8,0.4,0.2,1.6,51.6,48.4
Franklin - J F Kennedy Memorial,01010013,0.9,11.0,1.7,83.8,0.2,0.0,2.4,52.8,47.2
Franklin - Jefferson Elementary,01010010,2.5,4.4,1.2,88.9,0.0,0.0,3.0,54.2,45.8
Franklin - Oak Street Elementary,01010030,3.5,4.3,2.3,87.4,0.2,0.0,2.3,48.0,52.0
Franklin - Parmenter,01010032,1.8,5.4,4.1,86.7,0.2,0.0,1.8,50.7,49.3
Franklin - Remington Middle,01010310,1.1,3.8,2.9,89.7,0.2,0.2,2.1,49.4,50.6
Franklin County Regional Vocational Technical - Franklin County Technical,08180605,0.2,0.6,2.5,94.0,0.4,0.0,2.3,62.2,37.8
Freetown-Lakeville - Apponequet Regional High,06650505,1.2,0.7,1.8,94.4,0.1,0.0,1.9,49.6,50.4
Freetown-Lakeville - Assawompset Elementary School,06650002,1.4,1.0,0.0,96.0,0.4,0.2,1.0,52.9,47.1
Freetown-Lakeville - Freetown Elementary School,06650001,0.5,0.7,1.7,95.7,0.2,0.0,1.2,49.4,50.6
Freetown-Lakeville - Freetown-Lakeville Middle School,06650305,0.9,1.4,2.0,93.8,0.3,0.0,1.7,50.2,49.8
Freetown-Lakeville - George R Austin Intermediate School,06650015,0.6,1.0,0.6,96.6,0.0,0.2,1.0,53.5,46.5
Frontier - Frontier Regional,06700505,0.5,2.4,4.0,89.4,0.0,0.3,3.4,50.1,49.9
Gardner - Elm Street School,01030001,3.9,1.7,12.5,76.4,0.0,0.2,5.2,52.1,47.9
Gardner - Gardner Academy for Learning and Technology,01030515,6.8,1.4,5.4,81.1,0.0,0.0,5.4,64.9,35.1
Gardner - Gardner High,01030505,2.6,2.2,9.8,82.8,0.8,0.0,1.8,53.0,47.0
Gardner - Gardner Middle School,01030405,4.1,2.5,11.8,78.7,0.0,0.0,2.9,55.3,44.7
Gardner - Helen Mae Sauter Elementary,01030015,2.4,2.0,13.7,73.5,0.4,0.4,7.6,51.8,48.2
Gardner - Waterford Street,01030020,1.3,1.0,13.2,77.4,0.2,0.0,6.9,53.6,46.4
Gateway - Chester Elementary,06720059,0.0,1.7,1.7,95.0,1.7,0.0,0.0,55.8,44.2
Gateway - Gateway Regional High,06720505,0.3,0.3,2.3,96.1,0.0,0.0,1.0,44.8,55.2
Gateway - Gateway Regional Junior High School,06720405,0.7,0.7,0.7,96.0,0.7,0.0,1.3,55.6,44.4
Gateway - Gateway Regional Middle School,06720410,0.6,0.0,4.8,93.4,0.0,0.0,1.2,47.3,52.7
Gateway - Littleville Elementary School,06720143,0.8,0.0,4.2,93.9,0.4,0.0,0.8,51.3,48.7
Georgetown - Georgetown High School,01050505,0.0,1.0,2.2,95.4,0.0,0.0,1.5,48.9,51.1
Georgetown - Georgetown Middle School,01050305,0.5,0.5,0.5,96.9,0.0,0.0,1.5,52.8,47.2
Georgetown - Penn Brook,01050010,0.0,1.1,0.8,96.6,0.0,0.0,1.5,55.2,44.8
Georgetown - Perley Elementary,01050005,0.0,1.0,1.7,96.2,0.0,0.7,0.3,53.5,46.5
Gill-Montague - Gill Elementary,06740005,0.7,0.0,0.7,94.4,0.0,0.0,4.2,43.7,56.3
Gill-Montague - Great Falls Middle,06740310,1.2,0.4,7.6,88.0,0.0,0.0,2.8,50.4,49.6
Gill-Montague - Montague Elementary School,06740050,2.4,0.3,11.1,78.2,0.3,0.3,7.4,54.9,45.1
Gill-Montague - Turners Fall High,06740505,2.1,0.7,6.0,89.7,0.4,0.0,1.1,49.8,50.2
Global Learning Charter Public  (District) - Global Learning Charter Public School,04960305,13.9,0.6,24.4,57.0,0.8,0.0,3.3,45.7,54.3
Gloucester - Beeman Memorial,01070010,4.4,2.7,12.8,77.4,0.0,0.0,2.7,50.5,49.5
Gloucester - East Gloucester Elementary,01070020,0.0,1.6,4.7,90.5,0.4,0.0,2.8,49.8,50.2
Gloucester - Gloucester High,01070505,1.2,2.2,3.1,93.0,0.4,0.1,0.0,51.5,48.5
Gloucester - Milton L Fuller Elementary,01070025,1.6,1.6,0.0,96.9,0.0,0.0,0.0,75.0,25.0
Gloucester - Plum Cove School,01070042,0.9,0.9,1.4,94.3,0.0,0.5,1.9,50.2,49.8
Gloucester - Ralph B O'Maley Middle,01070305,1.4,1.7,5.0,89.5,0.3,0.5,1.7,50.5,49.5
Gloucester - Veterans Memorial,01070045,1.5,1.0,12.5,81.5,0.0,2.0,1.5,59.0,41.0
Gloucester - West Parish,01070050,1.4,0.6,4.5,92.1,0.3,0.0,1.1,46.6,53.4
Gloucester Community Arts Charter (District) - Gloucester Community Arts Charter School,04480205,0.0,0.0,2.5,91.0,0.0,0.8,5.7,45.9,54.1
Gosnold - Cuttyhunk Elementary,01090005,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,50.0
Grafton - Grafton High School,01100505,1.9,5.8,3.2,86.7,0.4,0.0,2.0,50.4,49.6
Grafton - Grafton Middle,01100305,1.1,6.5,3.3,87.9,0.0,0.0,1.3,48.2,51.8
Grafton - Millbury Street Elementary School,01100200,0.6,18.3,2.8,74.6,0.0,0.0,3.8,48.7,51.3
Grafton - North Grafton Elementary,01100025,0.4,8.7,2.2,85.7,0.0,0.0,3.0,60.0,40.0
Grafton - North Street Elementary School,01100030,1.5,8.0,1.1,87.3,0.0,0.0,2.1,50.7,49.3
Grafton - South Grafton Elementary,01100005,1.2,17.4,4.8,72.7,0.0,0.0,3.9,51.4,48.6
Granby - East Meadow,01110004,0.0,4.1,4.1,89.0,0.0,0.5,2.3,54.8,45.2
Granby - Granby Jr Sr High School,01110505,1.2,1.8,2.0,93.3,0.0,0.0,1.8,48.1,51.9
Granby - West Street,01110010,0.0,0.4,3.2,94.7,0.0,0.0,1.8,56.0,44.0
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,08210605,1.6,2.3,4.0,89.0,0.4,0.1,2.7,56.1,43.9
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,08230605,0.5,0.3,77.7,19.8,0.1,0.0,1.6,53.0,47.0
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,08280605,3.9,15.1,24.9,53.2,0.4,0.0,2.6,51.3,48.7
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,08250605,8.1,0.9,15.8,72.7,0.3,0.0,2.2,48.0,52.0
Greenfield - Federal,01140010,2.2,1.7,12.9,82.0,0.0,0.0,1.1,52.8,47.2
Greenfield - Four Corners,01140025,0.9,0.0,7.1,91.5,0.0,0.0,0.5,51.2,48.8
Greenfield - Green River,01140030,0.0,12.5,0.0,87.5,0.0,0.0,0.0,87.5,12.5
Greenfield - Greenfield High,01140505,3.0,2.0,12.8,78.2,0.4,0.0,3.6,51.1,48.9
Greenfield - Greenfield Middle,01140305,1.9,2.8,14.4,76.6,0.2,0.0,4.1,51.7,48.3
Greenfield - Massachusetts Virtual Academy at Greenfield,01140900,9.7,2.5,8.5,76.5,0.6,0.0,2.1,47.4,52.6
