SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Boston - Orchard Gardens,00350257,41.9,1,53.2,1.2,0.2,0.5,2.1,48.9,51.1
Boston - Patrick J Kennedy,00350264,4.4,1.3,86.5,6.3,0,0.3,1.3,51.7,48.3
Boston - Paul A Dever,00350268,24.9,7.5,62.3,3.3,0,0.2,1.9,52.1,47.9
Boston - Phineas Bates,00350278,31.1,5.1,38.2,20.5,0,0,5.1,47.8,52.2
Boston - Quincy Upper School,00350565,20.7,53.2,16.8,7,0,0,2.3,57.9,42.1
Boston - Rafael Hernandez,00350691,3.1,0.2,91.1,4.8,0,0,0.7,49.9,50.1
Boston - Richard J Murphy,00350240,20.4,34.5,16.1,26.4,0.2,0.3,2.1,51.2,48.8
Boston - Roger Clap,00350298,28.3,5.2,35.8,28.3,0.6,0,1.7,49.7,50.3
Boston - Samuel Adams,00350302,5.1,0.7,71.9,19.9,0,0,2.4,54.8,45.2
Boston - Samuel W Mason,00350304,55.6,1.2,31.7,4.1,0.8,1.2,5.3,55.6,44.4
Boston - Sarah Greenwood,00350308,28.6,0.5,67.7,1.7,0.2,0.2,1,52.2,47.8
Boston - Snowden International School at Copley,00350690,38.3,7.6,41.3,9.6,0.3,0,3,50.6,49.4
Boston - TechBoston Academy,00350657,73,3.7,17.7,3,0.6,0.3,1.7,54.5,45.5
Boston - The English High,00350535,41.8,1.8,51,3.2,0.8,0.2,1.2,55,45
Boston - Thomas J Kenny,00350328,53.8,15.3,19.6,6,1.3,0.3,3.7,53.2,46.8
Boston - Urban Science Academy,00350579,51.3,1.4,37.4,8.7,0,0,1.2,54.5,45.5
Boston - Warren-Prescott,00350346,10.9,4.4,25.5,54.6,0.4,0.2,4.1,52,48
Boston - Washington Irving Middle,00350445,42.9,2.5,40.9,10.2,0.2,0,3.4,55.1,44.9
Boston - West Roxbury Academy,00350658,47.5,1.3,39.2,9.6,0.7,0.2,1.5,57,43
Boston - William E Russell,00350366,27.3,9.7,56.2,1.6,0.5,0,4.6,53.2,46.8
Boston - William Ellery Channing,00350360,55.2,0.6,38.5,3.5,0.3,0,1.9,51.7,48.3
Boston - William H Ohrenberger,00350258,26,4.8,44.6,21.6,0,0.2,2.8,57.3,42.7
Boston - William McKinley,00350363,49.1,0.5,35,10.8,0.8,0,3.8,73.2,26.8
Boston - William Monroe Trotter,00350370,60.3,0,29.9,5.6,0.2,0.5,3.4,48.7,51.3
Boston - Winship Elementary,00350374,24.8,8.6,41.4,20.9,0.3,0,4,48,52
Boston - Wm B Rogers Middle,00350470,64.5,6.8,23.3,2.3,0.4,0.2,2.5,55.4,44.6
Boston - Young Achievers,00350380,49.2,0.4,46.7,2.1,0.4,0.4,0.8,55.4,44.6
