id,school,Females,AfricanAmerican,district,Males,Hispanic,Asian,ORGCODE,year,White,total,NativeAmerican
99,The English High,51.3,48.1,Boston,48.7,38,2.4,00350535,1994,11.4,100.0,0.1
100,Thomas A Edison Jr High,43.5,24.1,Boston,56.5,40,24.5,00350425,1994,11.4,100.0,0
101,Thomas Gardner,51.6,27.7,Boston,48.4,39.4,12.7,00350326,1994,20.2,100.0,0
102,Thomas J Kenny,52.2,63.6,Boston,47.8,2.8,4.5,00350328,1994,28.4,100.0,0.7
103,Umana/Barnes Middle,46.9,20.7,Boston,53.1,36.3,12.5,00350405,1994,30.3,99.9,0.1
104,Warren-Prescott,46.9,39.1,Boston,53.1,13.3,7.9,00350346,1994,39.6,100.1,0.2
105,Washington Irving Middle,49.7,33.3,Boston,50.3,35.6,5.2,00350445,1994,25.4,99.9,0.4
106,West Roxbury Sch,47.2,65.5,Boston,52.8,16.2,1.3,00350573,1994,16.9,100.0,0.1
107,William E Russell,50.8,39.4,Boston,49.2,35.9,4.2,00350366,1994,20,99.9,0.4
108,William Ellery Channing,52.2,69.5,Boston,47.8,5.9,1.2,00350360,1994,22.9,100.0,0.5
109,William H Ohrenberger,48.9,34,Boston,51.1,41.4,6,00350258,1994,18.2,100.1,0.5
110,William H Taft Middle,46.2,38.6,Boston,53.8,19.1,24.8,00350480,1994,16.9,100.0,0.6
111,William McKinley,20.9,66.2,Boston,79.1,15.1,1.2,00350363,1994,17.3,100.0,0.2
112,William Monroe Trotter,50.9,79.7,Boston,49.1,7.9,1.7,00350370,1994,9.9,100.0,0.8
113,Winship Elementary,48.3,16.8,Boston,51.7,58.4,8.3,00350374,1994,16.5,100.0,0
114,Wm B Rogers Middle,43.8,67,Boston,56.2,9.3,1.5,00350470,1994,22.2,100.0,0
116,Woodrow Wilson Middle,45.6,80.5,Boston,54.4,5.4,3.6,00350490,1994,10,100.0,0.5
